EXTRACT: program_change channel=0 program=66 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0.13541666666666666
EXTRACT: note_on channel=0 note=71 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=2 note=76 velocity=127 time=0.041666666666666664
EXTRACT: note_on channel=2 note=72 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=1 note=36 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.03125
EXTRACT: note_on channel=2 note=76 velocity=0 time=0.17708333333333331
EXTRACT: note_on channel=2 note=72 velocity=127 time=0.07291666666666666
EXTRACT: note_on channel=1 note=36 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=2 note=76 velocity=127 time=0.08333333333333333
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.03125
EXTRACT: note_on channel=0 note=71 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=45 velocity=127 time=0
EXTRACT: note_on channel=2 note=79 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=9 note=40 velocity=127 time=0
EXTRACT: note_on channel=1 note=36 velocity=0 time=0.08333333333333333
EXTRACT: note_on channel=2 note=76 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=9 note=40 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=9 note=42 velocity=0 time=0
EXTRACT: note_on channel=2 note=84 velocity=127 time=0.041666666666666664
EXTRACT: note_on channel=2 note=79 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=0 note=71 velocity=0 time=0.17708333333333331
EXTRACT: note_on channel=2 note=79 velocity=127 time=0.03125
EXTRACT: note_on channel=2 note=84 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=0 note=74 velocity=127 time=0.041666666666666664
EXTRACT: note_on channel=1 note=36 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=1 note=45 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=2 note=72 velocity=0 time=0
EXTRACT: note_on channel=2 note=76 velocity=127 time=0.041666666666666664
EXTRACT: note_on channel=2 note=79 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.03125
EXTRACT: note_on channel=2 note=72 velocity=127 time=0.1875
EXTRACT: note_on channel=0 note=74 velocity=0 time=0.03125
EXTRACT: note_on channel=1 note=36 velocity=0 time=0
EXTRACT: note_on channel=2 note=67 velocity=0 time=0
EXTRACT: note_on channel=1 note=43 velocity=127 time=0.041666666666666664
EXTRACT: note_on channel=0 note=71 velocity=127 time=0.125
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=2 note=67 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=2 note=64 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=2 note=76 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.03125
EXTRACT: note_on channel=2 note=72 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=2 note=60 velocity=0 time=0.0625
EXTRACT: note_on channel=2 note=64 velocity=127 time=0.13541666666666666
EXTRACT: note_on channel=0 note=71 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=1 note=36 velocity=125 time=0.041666666666666664
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=1 note=43 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=2 note=67 velocity=0 time=0.03125
EXTRACT: note_on channel=6 note=64 velocity=0 time=0
EXTRACT: note_on channel=2 note=64 velocity=0 time=0.03125
EXTRACT: note_on channel=9 note=36 velocity=0 time=0
EXTRACT: note_on channel=0 note=67 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=35 velocity=127 time=0
EXTRACT: note_on channel=6 note=62 velocity=127 time=0
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=2 note=59 velocity=127 time=0.03125
EXTRACT: note_on channel=1 note=36 velocity=0 time=0.07291666666666666
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=9 note=36 velocity=0 time=0
EXTRACT: note_on channel=0 note=69 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=0 note=67 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=0 note=71 velocity=127 time=0.08333333333333333
EXTRACT: note_on channel=2 note=62 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=0 note=69 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=0 note=71 velocity=0 time=0.125
EXTRACT: note_on channel=2 note=66 velocity=127 time=0.07291666666666666
EXTRACT: note_on channel=0 note=69 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=0 note=71 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=0 note=69 velocity=0 time=0.08333333333333333
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.03125
EXTRACT: note_on channel=2 note=71 velocity=127 time=0.20833333333333331
EXTRACT: note_on channel=0 note=71 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=0 note=69 velocity=127 time=0.041666666666666664
EXTRACT: note_on channel=9 note=42 velocity=85 time=0.125
EXTRACT: note_on channel=2 note=71 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=2 note=74 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.10416666666666666
EXTRACT: note_on channel=0 note=69 velocity=0 time=0.09375
EXTRACT: note_on channel=2 note=74 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=2 note=71 velocity=127 time=0.07291666666666666
EXTRACT: note_on channel=0 note=67 velocity=127 time=0.08333333333333333
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=1 note=35 velocity=0 time=0.0625
EXTRACT: note_on channel=2 note=74 velocity=127 time=0.03125
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=0 note=71 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=42 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=9 note=40 velocity=127 time=0
EXTRACT: note_on channel=0 note=67 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=2 note=76 velocity=127 time=0.041666666666666664
EXTRACT: note_on channel=9 note=40 velocity=0 time=0.03125
EXTRACT: note_on channel=9 note=42 velocity=0 time=0
EXTRACT: note_on channel=2 note=74 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=2 note=71 velocity=0 time=0.17708333333333331
EXTRACT: note_on channel=0 note=71 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=2 note=74 velocity=127 time=0.041666666666666664
EXTRACT: note_on channel=2 note=76 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=0 note=71 velocity=127 time=0.10416666666666666
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=2 note=71 velocity=127 time=0.08333333333333333
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.03125
EXTRACT: note_on channel=2 note=66 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=2 note=74 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=2 note=62 velocity=0 time=0.10416666666666666
EXTRACT: note_on channel=0 note=71 velocity=0 time=0.0625
EXTRACT: note_on channel=2 note=66 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=1 note=42 velocity=0 time=0.03125
EXTRACT: note_on channel=1 note=35 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=2 note=59 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=2 note=71 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=0 note=71 velocity=127 time=0.0625
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=2 note=62 velocity=127 time=0.041666666666666664
EXTRACT: note_on channel=6 note=62 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.03125
EXTRACT: note_on channel=2 note=59 velocity=127 time=0.20833333333333331
EXTRACT: note_on channel=2 note=66 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=0 note=71 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=0 note=67 velocity=127 time=0.03125
EXTRACT: note_on channel=1 note=35 velocity=0 time=0
EXTRACT: note_on channel=1 note=42 velocity=127 time=0
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=2 note=62 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=2 note=59 velocity=0 time=0.03125
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=0 note=69 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=33 velocity=127 time=0
EXTRACT: note_on channel=6 note=60 velocity=127 time=0
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=2 note=57 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=0 note=67 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=1 note=42 velocity=0 time=0.03125
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=9 note=36 velocity=0 time=0
EXTRACT: note_on channel=0 note=69 velocity=0 time=0.09375
EXTRACT: note_on channel=2 note=60 velocity=127 time=0.11458333333333333
EXTRACT: note_on channel=0 note=69 velocity=127 time=0.05208333333333333
EXTRACT: note_on channel=0 note=67 velocity=127 time=0.125
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=2 note=64 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=0 note=69 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.08333333333333333
EXTRACT: note_on channel=2 note=69 velocity=127 time=0.26041666666666663
EXTRACT: note_on channel=0 note=67 velocity=0 time=0.125
EXTRACT: note_on channel=0 note=64 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=2 note=72 velocity=127 time=0.03125
EXTRACT: note_on channel=2 note=69 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=1 note=33 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=2 note=72 velocity=0 time=0.1875
EXTRACT: note_on channel=2 note=69 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=33 velocity=117 time=0.0625
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=2 note=72 velocity=127 time=0.08333333333333333
EXTRACT: note_on channel=2 note=74 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=0 note=64 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=0 note=67 velocity=127 time=0
EXTRACT: note_on channel=1 note=40 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=9 note=40 velocity=127 time=0
EXTRACT: note_on channel=2 note=72 velocity=0 time=0.07291666666666666
EXTRACT: note_on channel=2 note=76 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=33 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=9 note=40 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=9 note=42 velocity=0 time=0
EXTRACT: note_on channel=2 note=74 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=0 note=67 velocity=0 time=0.15625
EXTRACT: note_on channel=2 note=74 velocity=127 time=0.05208333333333333
EXTRACT: note_on channel=2 note=76 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=2 note=72 velocity=127 time=0.07291666666666666
EXTRACT: note_on channel=2 note=74 velocity=0 time=0.03125
EXTRACT: note_on channel=1 note=40 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=2 note=69 velocity=0 time=0
EXTRACT: note_on channel=0 note=69 velocity=127 time=0.03125
EXTRACT: note_on channel=1 note=33 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.11458333333333333
EXTRACT: note_on channel=0 note=69 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=2 note=69 velocity=127 time=0.11458333333333333
EXTRACT: note_on channel=2 note=64 velocity=0 time=0.03125
EXTRACT: note_on channel=2 note=72 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=2 note=64 velocity=127 time=0.11458333333333333
EXTRACT: note_on channel=1 note=33 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=0 note=71 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=40 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=2 note=60 velocity=0 time=0.03125
EXTRACT: note_on channel=2 note=69 velocity=0 time=0.07291666666666666
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=6 note=60 velocity=0 time=0.0625
EXTRACT: note_on channel=2 note=57 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=2 note=60 velocity=127 time=0.13541666666666666
EXTRACT: note_on channel=1 note=40 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=0 note=71 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=1 note=33 velocity=127 time=0.03125
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=2 note=64 velocity=0 time=0.07291666666666666
EXTRACT: note_on channel=1 note=33 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=2 note=60 velocity=0 time=0
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=0 note=74 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=31 velocity=127 time=0
EXTRACT: note_on channel=6 note=59 velocity=127 time=0
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=2 note=55 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.09375
EXTRACT: note_on channel=9 note=36 velocity=0 time=0
EXTRACT: note_on channel=0 note=69 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=0 note=74 velocity=0 time=0.10416666666666666
EXTRACT: note_on channel=0 note=69 velocity=0 time=0.09375
EXTRACT: note_on channel=2 note=59 velocity=127 time=0
EXTRACT: note_on channel=0 note=71 velocity=127 time=0.05208333333333333
EXTRACT: note_on channel=2 note=62 velocity=127 time=0.125
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.11458333333333333
EXTRACT: note_on channel=2 note=67 velocity=127 time=0.21875
EXTRACT: note_on channel=2 note=62 velocity=0 time=0.0625
EXTRACT: note_on channel=9 note=42 velocity=85 time=0.10416666666666666
EXTRACT: note_on channel=2 note=62 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=2 note=59 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=2 note=67 velocity=0 time=0.07291666666666666
EXTRACT: note_on channel=2 note=55 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=2 note=59 velocity=127 time=0.19791666666666666
EXTRACT: note_on channel=0 note=71 velocity=0 time=0.0625
EXTRACT: note_on channel=1 note=31 velocity=0 time=0
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=2 note=62 velocity=0 time=0.07291666666666666
EXTRACT: note_on channel=2 note=59 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.03125
EXTRACT: note_on channel=0 note=71 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=31 velocity=127 time=0
EXTRACT: note_on channel=2 note=55 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=9 note=40 velocity=127 time=0
EXTRACT: note_on channel=9 note=40 velocity=0 time=0.11458333333333333
EXTRACT: note_on channel=9 note=42 velocity=0 time=0
EXTRACT: note_on channel=0 note=69 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=2 note=59 velocity=127 time=0.03125
EXTRACT: note_on channel=0 note=71 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=0 note=67 velocity=127 time=0.05208333333333333
EXTRACT: note_on channel=0 note=69 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=1 note=31 velocity=0 time=0
EXTRACT: note_on channel=2 note=62 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=0 note=64 velocity=127 time=0.08333333333333333
EXTRACT: note_on channel=2 note=55 velocity=0 time=0
EXTRACT: note_on channel=2 note=59 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=0 note=67 velocity=0 time=0.03125
EXTRACT: note_on channel=2 note=62 velocity=0 time=0.07291666666666666
EXTRACT: note_on channel=2 note=55 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.11458333333333333
EXTRACT: note_on channel=2 note=59 velocity=127 time=0.041666666666666664
EXTRACT: note_on channel=0 note=64 velocity=0 time=0.07291666666666666
EXTRACT: note_on channel=2 note=62 velocity=127 time=0.0625
EXTRACT: note_on channel=6 note=59 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=2 note=55 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=2 note=59 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=2 note=62 velocity=0 time=0.10416666666666666
EXTRACT: note_on channel=2 note=55 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.11458333333333333
EXTRACT: note_on channel=2 note=55 velocity=0 time=0.26041666666666663
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.11458333333333333
EXTRACT: note_on channel=0 note=59 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=43 velocity=127 time=0
EXTRACT: note_on channel=3 note=62 velocity=127 time=0
EXTRACT: note_on channel=4 note=59 velocity=127 time=0
EXTRACT: note_on channel=5 note=55 velocity=127 time=0
EXTRACT: note_on channel=6 note=71 velocity=127 time=0
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.11458333333333333
EXTRACT: note_on channel=9 note=36 velocity=0 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0.38541666666666663
EXTRACT: note_on channel=1 note=43 velocity=0 time=0.11458333333333333
EXTRACT: note_on channel=9 note=42 velocity=0 time=0
EXTRACT: note_on channel=3 note=62 velocity=0 time=0.13541666666666666
EXTRACT: note_on channel=4 note=59 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=5 note=55 velocity=0 time=0
EXTRACT: note_on channel=1 note=43 velocity=127 time=0.03125
EXTRACT: note_on channel=3 note=62 velocity=127 time=0.08333333333333333
EXTRACT: note_on channel=4 note=59 velocity=127 time=0
EXTRACT: note_on channel=5 note=55 velocity=127 time=0
EXTRACT: note_on channel=3 note=62 velocity=0 time=0.08333333333333333
EXTRACT: note_on channel=4 note=59 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=5 note=55 velocity=0 time=0
EXTRACT: note_on channel=1 note=43 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=9 note=42 velocity=85 time=0.020833333333333332
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.11458333333333333
EXTRACT: note_on channel=0 note=57 velocity=127 time=0.03125
EXTRACT: note_on channel=0 note=59 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=0 note=59 velocity=127 time=0.14583333333333331
EXTRACT: note_on channel=1 note=47 velocity=127 time=0
EXTRACT: note_on channel=0 note=57 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=9 note=36 velocity=127 time=0.0625
EXTRACT: note_on channel=0 note=60 velocity=127 time=0.08333333333333333
EXTRACT: note_on channel=1 note=47 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=1 note=45 velocity=127 time=0
EXTRACT: note_on channel=0 note=59 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=6 note=72 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=9 note=40 velocity=127 time=0
EXTRACT: note_on channel=3 note=64 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=5 note=57 velocity=127 time=0
EXTRACT: note_on channel=6 note=71 velocity=0 time=0
EXTRACT: note_on channel=4 note=60 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=9 note=40 velocity=0 time=0.08333333333333333
EXTRACT: note_on channel=9 note=42 velocity=0 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0.38541666666666663
EXTRACT: note_on channel=1 note=45 velocity=0 time=0.0625
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=3 note=64 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=4 note=60 velocity=0 time=0
EXTRACT: note_on channel=5 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=45 velocity=127 time=0.14583333333333331
EXTRACT: note_on channel=3 note=64 velocity=127 time=0.0625
EXTRACT: note_on channel=4 note=60 velocity=127 time=0
EXTRACT: note_on channel=5 note=57 velocity=127 time=0
EXTRACT: note_on channel=3 note=64 velocity=0 time=0.15625
EXTRACT: note_on channel=4 note=60 velocity=0 time=0
EXTRACT: note_on channel=5 note=57 velocity=0 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=1 note=45 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.10416666666666666
EXTRACT: note_on channel=1 note=48 velocity=127 time=0.09375
EXTRACT: note_on channel=0 note=59 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=0 note=60 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=1 note=50 velocity=127 time=0.09375
EXTRACT: note_on channel=1 note=48 velocity=0 time=0.03125
EXTRACT: note_on channel=0 note=60 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=0 note=59 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=1 note=50 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=1 note=47 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=6 note=72 velocity=0 time=0
EXTRACT: note_on channel=6 note=74 velocity=127 time=0
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=0 note=62 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=3 note=66 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=5 note=59 velocity=127 time=0
EXTRACT: note_on channel=4 note=62 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=0 note=60 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.0625
EXTRACT: note_on channel=9 note=36 velocity=0 time=0
EXTRACT: note_on channel=0 note=62 velocity=0 time=0.22916666666666666
EXTRACT: note_on channel=9 note=42 velocity=85 time=0.15625
EXTRACT: note_on channel=0 note=62 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=47 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=4 note=62 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=3 note=66 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=5 note=59 velocity=0 time=0
EXTRACT: note_on channel=9 note=42 velocity=0 time=0
EXTRACT: note_on channel=1 note=47 velocity=127 time=0.19791666666666666
EXTRACT: note_on channel=3 note=66 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=5 note=59 velocity=127 time=0
EXTRACT: note_on channel=0 note=62 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=4 note=62 velocity=127 time=0
EXTRACT: note_on channel=3 note=66 velocity=0 time=0.10416666666666666
EXTRACT: note_on channel=4 note=62 velocity=0 time=0
EXTRACT: note_on channel=5 note=59 velocity=0 time=0.020833333333333332
EXTRACT: note_on channel=0 note=62 velocity=127 time=0.03125
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=1 note=47 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=1 note=50 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.10416666666666666
EXTRACT: note_on channel=1 note=48 velocity=127 time=0.03125
EXTRACT: note_on channel=1 note=50 velocity=0 time=0.041666666666666664
EXTRACT: note_on channel=1 note=48 velocity=0 time=0.10416666666666666
EXTRACT: note_on channel=1 note=47 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=0 note=62 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=9 note=36 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.11458333333333333
EXTRACT: note_on channel=0 note=60 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=6 note=72 velocity=127 time=0
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=9 note=40 velocity=127 time=0
EXTRACT: note_on channel=6 note=74 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=1 note=45 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=1 note=47 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=3 note=64 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=4 note=60 velocity=127 time=0
EXTRACT: note_on channel=5 note=57 velocity=127 time=0
EXTRACT: note_on channel=9 note=40 velocity=0 time=0.07291666666666666
EXTRACT: note_on channel=9 note=42 velocity=0 time=0
EXTRACT: note_on channel=1 note=45 velocity=0 time=0.25
EXTRACT: note_on channel=9 note=42 velocity=85 time=0.13541666666666666
EXTRACT: note_on channel=3 note=64 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=4 note=60 velocity=0 time=0
EXTRACT: note_on channel=5 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=45 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.09375
EXTRACT: note_on channel=1 note=45 velocity=0 time=0.03125
EXTRACT: note_on channel=3 note=64 velocity=127 time=0.14583333333333331
EXTRACT: note_on channel=4 note=60 velocity=127 time=0
EXTRACT: note_on channel=5 note=57 velocity=127 time=0
EXTRACT: note_on channel=1 note=45 velocity=127 time=0.020833333333333332
EXTRACT: note_on channel=4 note=60 velocity=0 time=0.125
EXTRACT: note_on channel=3 note=64 velocity=0 time=0.010416666666666666
EXTRACT: note_on channel=5 note=57 velocity=0 time=0
EXTRACT: note_on channel=0 note=60 velocity=0 time=0.05208333333333333
EXTRACT: note_on channel=9 note=42 velocity=85 time=0
EXTRACT: note_on channel=1 note=47 velocity=127 time=0.010416666666666666
EXTRACT: note_on channel=0 note=62 velocity=127 time=0.010416666666666666
